PassengerId,Survived,Pclass,Age,SibSp,Parch,Ticket,Fare,Cabin,Name_Hash
1,0,3,22,1,0,A/5 21171,7.25,Desconhecido,6c969dc7ad8ff99ae4959829c664e8537f5f98a23f41c1d3f394817aa1935c5c
2,1,1,38,1,0,PC 17599,71.2833,C85,f7ad2d69edefb38cae0679b6e6a8953b3f5892c9d12a57d0fd4a2d1e237f538a
3,1,3,26,0,0,STON/O2. 3101282,7.925,Desconhecido,7eb1fa77712a2b7aae183c39084f0ea0c9399488229bc21caffce289af329f95
4,1,1,35,1,0,113803,53.1,C123,c8a06e7446f04298d047e50e9ae4df4b0b63a437da6762c531a8db0cb5f22044
5,0,3,35,0,0,373450,8.05,Desconhecido,885e53ea6ed5a0ed33e075f1ebe2453a6c9eb1aa84053d2e381c9066b2f22a55
6,0,3,28,0,0,330877,8.4583,Desconhecido,fab68f7e6f04b8fb5b7abc3a2e99873834491acd1d34ee88c9516c8acda836a4
7,0,1,54,0,0,17463,51.8625,E46,558f7a8586015ef0608611c686374b01155a139c263a728b859dc06484e4e36d
8,0,3,2,3,1,349909,21.075,Desconhecido,cbd46ee4bc70d2641f1d1d5679915d6bebe00471ed6f7a7e8a1891b1c9ba9615
9,1,3,27,0,2,347742,11.1333,Desconhecido,3f3b1d436a7574b993ffe759313b5fbfa41941c072d82c3d3c97f37b9a1a3183
10,1,2,14,1,0,237736,30.0708,Desconhecido,c54fde5d501e974201ef04f4890fb11e42b64c1d5a6149f73810679cc476d939
11,1,3,4,1,1,PP 9549,16.7,G6,97901174ab27c6de5e7bdd424a2ee9e0f77ce38227ee0d3f3259b19d8b4cc277
12,1,1,58,0,0,113783,26.55,C103,0eb86cd7de54024678fe30b3a78ddf41d8918cff12a6805781715828ff73aaa5
13,0,3,20,0,0,A/5. 2151,8.05,Desconhecido,0384acda8f41266d3e8a91e9e01e33d071957b78f0b5b14d18f07c337cd7e163
14,0,3,39,1,5,347082,31.275,Desconhecido,a985d9cfe2eaf27b2723e9f024d2438744fc001afb7f0ddc627de2b615261a7e
15,0,3,14,0,0,350406,7.8542,Desconhecido,d8e1ad4da6633c639de91f9cc70df8a8839be95abda72796aa21e506e5d2f088
16,1,2,55,0,0,248706,16.0,Desconhecido,e46eaa968c1b2f9904eb9bfd6e31d7ce06af777ac7b6de9905dbc684aa767e42
17,0,3,2,4,1,382652,29.125,Desconhecido,f508fe559752338d5175219848de667feece60fe0917e510127edc0859c8ae26
18,1,2,28,0,0,244373,13.0,Desconhecido,511a68b4797b43fe119b32964a841969a29812153a7ef2a5eb1ab9017e1a5062
19,0,3,31,1,0,345763,18.0,Desconhecido,236eeffbf3b6066444d23529dd3b2392cbb24756ce537d68bc1e62ea80af6d72
20,1,3,28,0,0,2649,7.225,Desconhecido,85e474371158d92cf90323d3e57e007640c5c6953fa10d5fc42e23e5c4a8284c
21,0,2,35,0,0,239865,26.0,Desconhecido,98a687ae9b1ddedd644d19c6a7432aaa0d1de141129378cbd908316b0bde4a07
22,1,2,34,0,0,248698,13.0,D56,b218f39a02d7ca8e139f05cff2d4d0ea11cb9effd736ac1a6de76dafb8cd4916
23,1,3,15,0,0,330923,8.0292,Desconhecido,065abc271db1f3d6a0ada1cfe29ee71c988afdb6c10352cb0abe8781273c1bda
24,1,1,28,0,0,113788,35.5,A6,a39463ccb0e58ee56b38959a2baa17286f10f4abc116c30627066fbcf88757b3
25,0,3,8,3,1,349909,21.075,Desconhecido,3dc050816e8879a9641e1220b5ea15b10da4493504c864fb72b436a6ad616995
26,1,3,38,1,5,347077,31.3875,Desconhecido,aac518961ef5e5ff0c6599051fc3efe7c1b866ecb3c8837a8c44f703e973d31e
27,0,3,28,0,0,2631,7.225,Desconhecido,c05a3f0bac6a0ff16b7a022cf82bf07ca95667d4a2c7cfb97b94e6870f50bf9e
28,0,1,19,3,2,19950,263.0,C23 C25 C27,2b0d1185f87a9c89df8f43c8f1d37315d6457d5fc9e34bfb6e17f8a4ba741e2c
29,1,3,28,0,0,330959,7.8792,Desconhecido,93fd99cef539c09ee667331ee6ab8d22488938e5306d9d65d6af6d576486903b
30,0,3,28,0,0,349216,7.8958,Desconhecido,9b6b9c6b6ff44f734ba7aad7d5de312f107bb26d4b839470aa21dabb818a51eb
31,0,1,40,0,0,PC 17601,27.7208,Desconhecido,abbb4b5e689cacdf46be8ef9bcd6de49560850b0d239e91b1be60b6524181e41
32,1,1,28,1,0,PC 17569,146.5208,B78,0096b593e3df5e4bcc4372529e6d91654837d60996d1176116e9db252b6dbc89
33,1,3,28,0,0,335677,7.75,Desconhecido,f7312ab620854b67c9824206598b506339a18d0621abb6aca25e2c4404e7bdab
34,0,2,66,0,0,C.A. 24579,10.5,Desconhecido,a0477fd22ab2f03f6068599c1aa791c2060208dd8e9fdaa16a3b8aca753f089b
35,0,1,28,1,0,PC 17604,82.1708,Desconhecido,0b93db89e1f84334b0439add2d3f13bd23c530c600381c52e7d070e67eb07ed9
36,0,1,42,1,0,113789,52.0,Desconhecido,bae4087cb0807d01ef76c77eef4e8201aa3d7baba7441149cc50a97a25e23a24
37,1,3,28,0,0,2677,7.2292,Desconhecido,dc004cc183ea0dd25fa7038b88ab70fb2ec54eaf990515178d1afecedec88b4d
38,0,3,21,0,0,A./5. 2152,8.05,Desconhecido,5bb4835e7c032da8e81c9d43c148008c76f3177cdf2acd2781fe10e4a0c68f3b
39,0,3,18,2,0,345764,18.0,Desconhecido,af1880595460cf24cefa6045bf89be9db55ced5b9a73741491676ef4430e1091
40,1,3,14,1,0,2651,11.2417,Desconhecido,5a6ce92cfeebe6127f361fd0ed204923781fe5c14f72450f1ead44c4a8123178
41,0,3,40,1,0,7546,9.475,Desconhecido,44b5884a61f3a3b23e56f827d76f87ac223a4e5300dbcf6e0084724063643d06
42,0,2,27,1,0,11668,21.0,Desconhecido,5e6a55df88bb2d766665c83f341ea3cf7c7f346d086d46e97c05ee54cbe3f83f
43,0,3,28,0,0,349253,7.8958,Desconhecido,bf7b6511f944d445815b3d3531b6e8fc4d65a8d961da17998bd5d41e35d219d4
44,1,2,3,1,2,SC/Paris 2123,41.5792,Desconhecido,f96bc1a64814fa62ddd42d878d6bb325443bca4200a8be93795041575702c7d4
45,1,3,19,0,0,330958,7.8792,Desconhecido,9f818739be1599aa9d1282385a4f43ac2cd5a41ea2ce9de90c7a8867cba1d82f
