PassengerId,Survived,Pclass,Name,Age,NrFamiliares,Ticket,Fare,Cabin
7e87400b,0,ccab,6c969dc7ad8ff99ae4959829c664e8537f5f98a23f41c1d3f394817aa1935c5c,Adulto,Pequena,A/5****,menos que $100,Desconhecido
0f453dd7,1,aef6,f7ad2d69edefb38cae0679b6e6a8953b3f5892c9d12a57d0fd4a2d1e237f538a,Adulto,Pequena,PC ****,menos que $100,C
4aae370f,1,ccab,7eb1fa77712a2b7aae183c39084f0ea0c9399488229bc21caffce289af329f95,Adulto,Sem familiares,STO****,menos que $100,Desconhecido
dbddb4c7,1,aef6,c8a06e7446f04298d047e50e9ae4df4b0b63a437da6762c531a8db0cb5f22044,Adulto,Pequena,113****,menos que $100,C
596b1769,0,ccab,885e53ea6ed5a0ed33e075f1ebe2453a6c9eb1aa84053d2e381c9066b2f22a55,Adulto,Sem familiares,373****,menos que $100,Desconhecido
efec010e,0,ccab,fab68f7e6f04b8fb5b7abc3a2e99873834491acd1d34ee88c9516c8acda836a4,Adulto,Sem familiares,330****,menos que $100,Desconhecido
38d5b7da,0,aef6,558f7a8586015ef0608611c686374b01155a139c263a728b859dc06484e4e36d,Adulto,Sem familiares,174****,menos que $100,E
04f24510,0,ccab,cbd46ee4bc70d2641f1d1d5679915d6bebe00471ed6f7a7e8a1891b1c9ba9615,Menor,Grande,349****,menos que $100,Desconhecido
5c85be8c,1,ccab,3f3b1d436a7574b993ffe759313b5fbfa41941c072d82c3d3c97f37b9a1a3183,Adulto,Pequena,347****,menos que $100,Desconhecido
295ccfc3,1,2cb8,c54fde5d501e974201ef04f4890fb11e42b64c1d5a6149f73810679cc476d939,Menor,Pequena,237****,menos que $100,Desconhecido
2bae9a55,1,ccab,97901174ab27c6de5e7bdd424a2ee9e0f77ce38227ee0d3f3259b19d8b4cc277,Menor,Pequena,PP ****,menos que $100,G
11f1a66f,1,aef6,0eb86cd7de54024678fe30b3a78ddf41d8918cff12a6805781715828ff73aaa5,Adulto,Sem familiares,113****,menos que $100,C
96e4cfc3,0,ccab,0384acda8f41266d3e8a91e9e01e33d071957b78f0b5b14d18f07c337cd7e163,Adulto,Sem familiares,A/5****,menos que $100,Desconhecido
ccc983fc,0,ccab,a985d9cfe2eaf27b2723e9f024d2438744fc001afb7f0ddc627de2b615261a7e,Adulto,Grande,347****,menos que $100,Desconhecido
b037c65d,0,ccab,d8e1ad4da6633c639de91f9cc70df8a8839be95abda72796aa21e506e5d2f088,Menor,Sem familiares,350****,menos que $100,Desconhecido
ee1d3bf3,1,2cb8,e46eaa968c1b2f9904eb9bfd6e31d7ce06af777ac7b6de9905dbc684aa767e42,Adulto,Sem familiares,248****,menos que $100,Desconhecido
a31a8245,0,ccab,f508fe559752338d5175219848de667feece60fe0917e510127edc0859c8ae26,Menor,Grande,382****,menos que $100,Desconhecido
02bb4551,1,2cb8,511a68b4797b43fe119b32964a841969a29812153a7ef2a5eb1ab9017e1a5062,Adulto,Sem familiares,244****,menos que $100,Desconhecido
8263e586,0,ccab,236eeffbf3b6066444d23529dd3b2392cbb24756ce537d68bc1e62ea80af6d72,Adulto,Pequena,345****,menos que $100,Desconhecido
